GRB Name: 231111A, Detection Day: 14:17:19, Detection Time: 1195887, XRT RA Coordinates: 290.19719:20:47.3, Redshift: 52.44052:26:24.0
GRB Name: 231110A, Detection Day: 21:19:34, Detection Time: 1195733, XRT RA Coordinates: 356.24423:44:58.6, Redshift: 82.63082:37:48.0
GRB Name: 231104A, Detection Day: 01:47:39, Detection Time: 1194500, XRT RA Coordinates: 23.82401:35:17.8, Redshift: 83.79483:47:38.4
GRB Name: 231028A, Detection Day: 04:09:09, Detection Time: 1193078, XRT RA Coordinates: 214.01614:16:03.8, Redshift: 20.89720:53:49.2
GRB Name: 231017A, Detection Day: 08:05:03.30, Detection Time: GUANO, XRT RA Coordinates: 86.19105:44:45.8, Redshift: 56.66656:39:57.6
GRB Name: 230911C, Detection Day: 08:47:25, Detection Time: 1191188, XRT RA Coordinates: 226.79615:07:11.0, Redshift: -41.356-41:21:21.6
GRB Name: 230911A, Detection Day: 03:09:32, Detection Time: Fermi, XRT RA Coordinates: 59.803:59:12.0, Redshift: -34.4-34:24:00.0
GRB Name: 230903A, Detection Day: 17:22:56, Detection Time: 1189514, XRT RA Coordinates: 9.89800:39:35.5, Redshift: -40.910-40:54:36.0
GRB Name: 230827B, Detection Day: 06:08:30.73, Detection Time: Fermi, XRT RA Coordinates: 299.3219:57:16.8, Redshift: 56.4756:28:12.0
GRB Name: 230826A, Detection Day: 19:32:47, Detection Time: 1187463, XRT RA Coordinates: 83.04805:32:11.5, Redshift: 66.12966:07:44.4
GRB Name: 230818A, Detection Day: 23:27:34, Detection Time: 1186032, XRT RA Coordinates: 285.88819:03:33.1, Redshift: 40.88840:53:16.8
GRB Name: 230816A, Detection Day: 16:08:48, Detection Time: 1185673, XRT RA Coordinates: 328.45321:53:48.7, Redshift: 37.85337:51:10.8
GRB Name: 230815A, Detection Day: 10:49:55, Detection Time: 1185505, XRT RA Coordinates: 184.76012:19:02.4, Redshift: -58.067-58:04:01.2
GRB Name: 230812B, Detection Day: 18:58:12, Detection Time: Fermi, XRT RA Coordinates: 250.116:40:24.0, Redshift: 46.246:12:00.0
GRB Name: 230805B, Detection Day: 11:23:51, Detection Time: 1183217, XRT RA Coordinates: 207.73813:50:57.1, Redshift: 31.19031:11:24.0
GRB Name: 230802A, Detection Day: 06:50:26, Detection Time: 1182085, XRT RA Coordinates: 76.23205:04:55.7, Redshift: 19.55219:33:07.2
GRB Name: 230728A, Detection Day: 02:50:03, Detection Time: 1181187, XRT RA Coordinates: 343.51422:54:03.4, Redshift: 28.16928:10:08.4
GRB Name: 230723B, Detection Day: 11:42:32, Detection Time: 1180410, XRT RA Coordinates: 250.39116:41:33.8, Redshift: -5.319-05:19:08.4
GRB Name: 230628E, Detection Day: 22:26:10, Detection Time: 1177054, XRT RA Coordinates: 171.85111:27:24.2, Redshift: -11.430-11:25:48.0
GRB Name: 230622A, Detection Day: 10:04:21, Detection Time: 1176135, XRT RA Coordinates: 292.51619:30:03.8, Redshift: -32.972-32:58:19.2
GRB Name: 230618A, Detection Day: 03:51:12, Detection Time: 1175438, XRT RA Coordinates: 196.64213:06:34.1, Redshift: 3.27803:16:40.8
GRB Name: 230606A, Detection Day: 00:14:37, Detection Time: 1173731, XRT RA Coordinates: 166.77711:07:06.5, Redshift: 36.50436:30:14.4
GRB Name: 230510A, Detection Day: 12:06:28, Detection Time: 1167973, XRT RA Coordinates: 318.13821:12:33.1, Redshift: 34.43034:25:48.0
